X;Y;fid;cng_(Meters);LABEL;MAP_LABEL
598365.447720477;6755438.09273383;0;30;G02_LH002;
598393.111722517;6755449.6988956;0;60;G02_LH003;
598420.775724556;6755461.30505738;0;90;G02_LH004;
598448.439726596;6755472.91121915;0;120;G02_LH005;
598476.103728636;6755484.51738093;0;150;G02_LH006;
598503.767730675;6755496.1235427;0;180;G02_LH007;
598531.431732715;6755507.72970448;0;210;G02_LH008;
598559.095734754;6755519.33586625;0;240;G02_LH009;
598614.423738834;6755542.54818981;0;300;G02_LH011;
598642.087740873;6755554.15435158;0;330;G02_LH012;
598669.751742913;6755565.76051336;0;360;G02_LH013;
598697.415744952;6755577.36667513;0;390;G02_LH014;
598725.079746992;6755588.97283691;0;420;G02_LH015;
598752.743749032;6755600.57899868;0;450;G02_LH016;
598780.407751071;6755612.18516046;0;480;G02_LH017;
598808.071753111;6755623.79132223;0;510;G02_LH018;
598834.408090952;6755633.39365323;0;540;G02_LH019;
598834.60289512;6755573.39396947;0;600;G02_LH021;
598834.700297204;6755543.39412759;0;630;G02_LH022;
598834.797699288;6755513.39428571;0;660;G02_LH023;
598834.895101372;6755483.39444383;0;690;G02_LH024;
598834.992503456;6755453.39460195;0;720;G02_LH025;
598835.08990554;6755423.39476007;0;750;G02_LH026;
598835.187307624;6755393.39491819;0;780;G02_LH027;
598835.284709708;6755363.39507631;0;810;G02_LH028;
598835.382111792;6755333.39523443;0;840;G02_LH029;
598835.57691596;6755273.39555066;0;900;G02_LH031;
598835.674318044;6755243.39570878;0;930;G02_LH032;
598835.771720128;6755213.3958669;0;960;G02_LH033;
598835.869122212;6755183.39602502;0;990;G02_LH034;
598835.966524297;6755153.39618314;0;1020;G02_LH035;
598836.063926381;6755123.39634126;0;1050;G02_LH036;
598836.161328464;6755093.39649938;0;1080;G02_LH037;
598836.258730548;6755063.3966575;0;1110;G02_LH038;
598836.356132632;6755033.39681562;0;1140;G02_LH039;
598836.550936801;6754973.39713186;0;1200;G02_LH041;
598836.648338885;6754943.39728998;0;1230;G02_LH042;
598836.745740969;6754913.3974481;0;1260;G02_LH043;
598836.843143053;6754883.39760622;0;1290;G02_LH044;
598836.940545137;6754853.39776434;0;1320;G02_LH045;
598837.037947221;6754823.39792246;0;1350;G02_LH046;
598837.135349305;6754793.39808058;0;1380;G02_LH047;
598837.232751389;6754763.3982387;0;1410;G02_LH048;
598856.143835789;6754767.74621958;0;1440;G02_LH049;
598906.808340162;6754799.88821698;0;1500;G02_LH051;
598932.140592348;6754815.95921568;0;1530;G02_LH052;
598957.472844534;6754832.03021438;0;1560;G02_LH053;
598982.80509672;6754848.10121308;0;1590;G02_LH054;
599008.137348906;6754864.17221178;0;1620;G02_LH055;
599033.469601092;6754880.24321047;0;1650;G02_LH056;
599058.801853279;6754896.31420917;0;1680;G02_LH057;
599084.134105465;6754912.38520787;0;1710;G02_LH058;
599109.466357651;6754928.45620657;0;1740;G02_LH059;
599160.130862023;6754960.59820397;0;1800;G02_LH061;
599185.46311421;6754976.66920267;0;1830;G02_LH062;
599210.795366396;6754992.74020136;0;1860;G02_LH063;
599236.127618582;6755008.81120006;0;1890;G02_LH064;
599261.459870768;6755024.88219876;0;1920;G02_LH065;
599286.792122954;6755040.95319746;0;1950;G02_LH066;
599312.124375141;6755057.02419616;0;1980;G02_LH067;
599337.456627327;6755073.09519486;0;2010;G02_LH068;
599362.788879513;6755089.16619356;0;2040;G02_LH069;
599317.259962934;6755109.69719821;0;2100;G02_LH071;
599288.831298026;6755119.27900449;0;2130;G02_LH072;
599260.402633119;6755128.86081077;0;2160;G02_LH073;
599231.973968211;6755138.44261705;0;2190;G02_LH074;
599203.545303303;6755148.02442333;0;2220;G02_LH075;
599175.116638395;6755157.6062296;0;2250;G02_LH076;
599146.687973487;6755167.18803588;0;2280;G02_LH077;
599118.259308579;6755176.76984216;0;2310;G02_LH078;
599089.830643671;6755186.35164844;0;2340;G02_LH079;
599032.973313855;6755205.515261;0;2400;G02_LH081;
599004.544648947;6755215.09706727;0;2430;G02_LH082;
598976.115984039;6755224.67887355;0;2460;G02_LH083;
598947.687319131;6755234.26067983;0;2490;G02_LH084;
598919.258654223;6755243.84248611;0;2520;G02_LH085;
598890.829989315;6755253.42429239;0;2550;G02_LH086;
598862.401324407;6755263.00609866;0;2580;G02_LH087;
598833.9726595;6755272.58790494;0;2610;G02_LH088;
598805.543994592;6755282.16971122;0;2640;G02_LH089;
598748.686664776;6755301.33332378;0;2700;G02_LH091;
598720.257999868;6755310.91513006;0;2730;G02_LH092;
598691.82933496;6755320.49693633;0;2760;G02_LH093;
598663.400670052;6755330.07874261;0;2790;G02_LH094;
598634.972005144;6755339.66054889;0;2820;G02_LH095;
598606.543340236;6755349.24235517;0;2850;G02_LH096;
598578.114675328;6755358.82416145;0;2880;G02_LH097;
598549.68601042;6755368.40596772;0;2910;G02_LH098;
598521.257345512;6755377.987774;0;2940;G02_LH099;
598464.400015696;6755397.15138656;0;3000;G02_LH101;
598435.971350788;6755406.73319284;0;3030;G02_LH102;
598407.54268588;6755416.31499912;0;3060;G02_LH103;
598379.114020973;6755425.89680539;0;3090;G02_LH104;
598350.685356065;6755435.47861167;0;3120;G02_LH105;
598337.783718438;6755426.48657205;0;0;G02_LH001;G02_LH001
598586.759736794;6755530.94202803;0;270;G02_LH010;G02_LH010
598834.505493036;6755603.39381135;0;570;G02_LH020;G02_LH020
598835.479513876;6755303.39539255;0;870;G02_LH030;G02_LH030
598836.453534717;6755003.39697374;0;1170;G02_LH040;G02_LH040
598881.476087975;6754783.81721828;0;1470;G02_LH050;G02_LH050
599134.798609837;6754944.52720527;0;1770;G02_LH060;G02_LH060
599345.688627842;6755100.11539194;0;2070;G02_LH070;G02_LH070
599061.401978763;6755195.93345472;0;2370;G02_LH080;G02_LH080
598777.115329684;6755291.7515175;0;2670;G02_LH090;G02_LH090
598492.828680604;6755387.56958028;0;2970;G02_LH100;G02_LH100
598858.842337544;6755492.82395295;1;30;G02_LC002;
598829.052689319;6755496.37033964;1;60;G02_LC003;
598799.263041093;6755499.91672634;1;90;G02_LC004;
598769.473392867;6755503.46311303;1;120;G02_LC005;
598740.556048454;6755495.67785947;1;150;G02_LC006;
598711.660159414;6755487.61389044;1;180;G02_LC007;
598682.764270374;6755479.5499214;1;210;G02_LC008;
598653.868381334;6755471.48595237;1;240;G02_LC009;
598604.992361226;6755437.58738844;1;300;G02_LC011;
598582.592857003;6755418.35367717;1;330;G02_LC012;
598574.862977486;6755389.36662898;1;360;G02_LC013;
598567.13309797;6755360.37958079;1;390;G02_LC014;
598561.151910168;6755331.33314027;1;420;G02_LC015;
598566.897220951;6755301.88842251;1;450;G02_LC016;
598572.642531733;6755272.44370475;1;480;G02_LC017;
598578.387842516;6755242.99898699;1;510;G02_LC018;
598585.51596153;6755214.06083104;1;540;G02_LC019;
598614.78524299;6755161.68422212;1;600;G02_LC021;
598629.41988372;6755135.49591765;1;630;G02_LC022;
598646.846355054;6755111.3807223;1;660;G02_LC023;
598667.684190465;6755089.79867849;1;690;G02_LC024;
598688.522025876;6755068.21663467;1;720;G02_LC025;
598709.359861288;6755046.63459085;1;750;G02_LC026;
598734.217788297;6755030.77780067;1;780;G02_LC027;
598761.593068032;6755018.50612355;1;810;G02_LC028;
598788.968347768;6755006.23444643;1;840;G02_LC029;
598846.654986409;6754990.40605598;1;900;G02_LC031;
598875.87522722;6754983.61065114;1;930;G02_LC032;
598905.095468032;6754976.8152463;1;960;G02_LC033;
598934.13231479;6754976.03020322;1;990;G02_LC034;
598962.883885298;6754984.59450082;1;1020;G02_LC035;
598991.635455806;6754993.15879842;1;1050;G02_LC036;
599020.387026313;6755001.72309601;1;1080;G02_LC037;
599049.138596821;6755010.28739361;1;1110;G02_LC038;
599067.722126784;6755031.59812539;1;1140;G02_LC039;
599097.201398;6755083.85683346;1;1200;G02_LC041;
599111.941033608;6755109.98618749;1;1230;G02_LC042;
599117.987826889;6755137.79767382;1;1260;G02_LC043;
599114.059675812;6755167.53938912;1;1290;G02_LC044;
599110.131524734;6755197.28110443;1;1320;G02_LC045;
599106.203373657;6755227.02281973;1;1350;G02_LC046;
599102.275222579;6755256.76453503;1;1380;G02_LC047;
599092.041707528;6755283.5166987;1;1410;G02_LC048;
599071.501443678;6755305.38214086;1;1440;G02_LC049;
599030.420915978;6755349.11302519;1;1500;G02_LC051;
599009.814733981;6755370.91383814;1;1530;G02_LC052;
598988.359117909;6755391.88182658;1;1560;G02_LC053;
598966.903501837;6755412.84981501;1;1590;G02_LC054;
598945.447885765;6755433.81780345;1;1620;G02_LC055;
598923.992269693;6755454.78579188;1;1650;G02_LC056;
598902.536653621;6755475.75378031;1;1680;G02_LC057;
