X,Y,X,Y,name
602496.245880085,6765638.78660637,-139.1040183314,61.0122802425,G13_Z1A_ZZ01
602536.491228022,6765626.14919756,-139.1032811178,61.0121563887,G13_Z1A_ZZ02
602496.266989386,6765612.34914808,-139.1040320927,61.0120430144,G13_Z1A_ZZ03
602536.321627216,6765598.96284965,-139.103298811,61.0119124905,G13_Z1A_ZZ04
602496.447678317,6765598.76363507,-139.1040360245,61.011921065,G13_Z1A_ZZ05
602510.062181045,6765639.08052608,-139.103762764,61.0122792898,G13_Z1A_ZZ06
602521.430311015,6765599.06240655,-139.1035740374,61.0119172541,G13_Z1A_ZZ07
602536.228712627,6765638.88281533,-139.1032791519,61.0122707153,G13_Z1A_ZZ08
602577.379794401,6765598.66574573,-139.1025399725,61.0118991506,G13_Z1B_ZZ01
602617.625906988,6765586.02924195,-139.101802759,61.0117752967,G13_Z1B_ZZ02
602577.401483689,6765572.22827247,-139.1025537339,61.0116619224,G13_Z1B_ZZ03
602617.456910893,6765558.84288606,-139.1018204521,61.0115313985,G13_Z1B_ZZ04
602577.582475015,6765558.6427726,-139.1025576657,61.0115399731,G13_Z1B_ZZ05
602591.196252061,6765598.95996944,-139.1022844052,61.0118981978,G13_Z1B_ZZ06
602602.565410792,6765558.94211432,-139.1020956785,61.0115361622,G13_Z1B_ZZ07
602617.363106725,6765598.76285572,-139.1018007931,61.0118896233,G13_Z1B_ZZ08
602455.17863788,6765999.4332199,-139.1045845113,61.0155269835,G13_Z1C_ZZ01
602495.41980959,6765986.79537632,-139.1038472978,61.0154031297,G13_Z1C_ZZ02
602455.199613529,6765972.9957534,-139.1045982727,61.0152897554,G13_Z1C_ZZ03
602495.250101888,6765959.60902235,-139.1038649909,61.0151592315,G13_Z1C_ZZ04
602455.380218886,6765959.41024558,-139.1046022045,61.0151678061,G13_Z1C_ZZ05
602468.993523672,6765999.72699162,-139.104328944,61.0155260308,G13_Z1C_ZZ06
602480.360307104,6765959.7087387,-139.1041402173,61.0151639951,G13_Z1C_ZZ07
602495.157381722,6765999.52900066,-139.1038453319,61.0155174563,G13_Z1C_ZZ08
602456.83747541,6765236.69547465,-139.1049619647,61.008682524,G13_Z2A_ZZ01
602497.087133124,6765224.05758458,-139.1042247511,61.0085586702,G13_Z2A_ZZ02
602456.858092575,6765210.25803041,-139.104975726,61.0084452959,G13_Z2A_ZZ03
602496.917004584,6765196.87125345,-139.1042424443,61.008314772,G13_Z2A_ZZ04
602457.038547473,6765196.6725337,-139.1049796578,61.0083233466,G13_Z2A_ZZ05
602470.655342584,6765236.98922663,-139.1047063973,61.0086815713,G13_Z2A_ZZ06
602482.024013528,6765196.97099104,-139.1045176706,61.0083195356,G13_Z2A_ZZ07
602496.824826283,6765236.79119865,-139.1042227852,61.0086729968,G13_Z2A_ZZ08
602894.412596356,6764877.27573506,-139.0970668994,61.0053435969,G13_Z2B_ZZ01
602934.667988917,6764864.6427631,-139.0963296859,61.005219743,G13_Z2B_ZZ02
602894.436292465,6764850.83826397,-139.0970806608,61.0051063687,G13_Z2B_ZZ03
602934.501016845,6764837.45639264,-139.096347379,61.0049758448,G13_Z2B_ZZ04
602894.618350166,6764837.25278011,-139.0970845926,61.0049844194,G13_Z2B_ZZ05
602908.231888667,6764877.57118234,-139.0968113321,61.0053426442,G13_Z2B_ZZ06
602919.606429696,6764837.55431412,-139.0966226054,61.0049806085,G13_Z2B_ZZ07
602934.404169595,6764877.37636484,-139.09632772,61.0053340697,G13_Z2B_ZZ08
603019.045243032,6765156.1637458,-139.0946134529,61.0078135216,G13_Z2C_ZZ01
603059.298035153,6765143.53221078,-139.0938762394,61.0076896677,G13_Z2C_ZZ02
603019.07001142,6765129.72625941,-139.0946272142,61.0075762934,G13_Z2C_ZZ03
603059.132174992,6765116.34581755,-139.0938939325,61.0074457695,G13_Z2C_ZZ04
603019.252604226,6765116.1407737,-139.094631146,61.0074543441,G13_Z2C_ZZ05
603032.863460785,6765156.45968938,-139.0943578855,61.0078125689,G13_Z2C_ZZ06
603044.238734991,6765116.44320455,-139.0941691589,61.0074505332,G13_Z2C_ZZ07
603059.033721463,6765156.2658109,-139.0938742735,61.0078039944,G13_Z2C_ZZ08
602976.621363282,6764182.70807011,-139.0959207782,60.9990898351,G13_Z3A_ZZ01
602936.38190508,6764168.90317184,-139.096671753,60.9989764608,G13_Z3A_ZZ02
602976.454329025,6764155.52171551,-139.0959384713,60.9988459369,G13_Z3A_ZZ03
602936.563983224,6764155.31768748,-139.0966756848,60.9988545114,G13_Z3A_ZZ04
602950.180189228,6764195.63620177,-139.0964024243,60.9992127362,G13_Z3A_ZZ05
602961.556872406,6764155.61947467,-139.0962136977,60.9988507005,G13_Z3A_ZZ06
602976.357507508,6764195.4416498,-139.0959188123,60.9992041617,G13_Z3A_ZZ07
