X;Y;name
-139.1040183314;61.0122802425;G13_Z1A_ZZ01
-139.1032811178;61.0121563887;G13_Z1A_ZZ02
-139.1040320927;61.0120430144;G13_Z1A_ZZ03
-139.103298811;61.0119124905;G13_Z1A_ZZ04
-139.1040360245;61.011921065;G13_Z1A_ZZ05
-139.103762764;61.0122792898;G13_Z1A_ZZ06
-139.1035740374;61.0119172541;G13_Z1A_ZZ07
-139.1032791519;61.0122707153;G13_Z1A_ZZ08
-139.1025399725;61.0118991506;G13_Z1B_ZZ01
-139.101802759;61.0117752967;G13_Z1B_ZZ02
-139.1025537339;61.0116619224;G13_Z1B_ZZ03
-139.1018204521;61.0115313985;G13_Z1B_ZZ04
-139.1025576657;61.0115399731;G13_Z1B_ZZ05
-139.1022844052;61.0118981978;G13_Z1B_ZZ06
-139.1020956785;61.0115361622;G13_Z1B_ZZ07
-139.1018007931;61.0118896233;G13_Z1B_ZZ08
-139.1045845113;61.0155269835;G13_Z1C_ZZ01
-139.1038472978;61.0154031297;G13_Z1C_ZZ02
-139.1045982727;61.0152897554;G13_Z1C_ZZ03
-139.1038649909;61.0151592315;G13_Z1C_ZZ04
-139.1046022045;61.0151678061;G13_Z1C_ZZ05
-139.104328944;61.0155260308;G13_Z1C_ZZ06
-139.1041402173;61.0151639951;G13_Z1C_ZZ07
-139.1038453319;61.0155174563;G13_Z1C_ZZ08
-139.1049619647;61.008682524;G13_Z2A_ZZ01
-139.1042247511;61.0085586702;G13_Z2A_ZZ02
-139.104975726;61.0084452959;G13_Z2A_ZZ03
-139.1042424443;61.008314772;G13_Z2A_ZZ04
-139.1049796578;61.0083233466;G13_Z2A_ZZ05
-139.1047063973;61.0086815713;G13_Z2A_ZZ06
-139.1045176706;61.0083195356;G13_Z2A_ZZ07
-139.1042227852;61.0086729968;G13_Z2A_ZZ08
-139.0970668994;61.0053435969;G13_Z2B_ZZ01
-139.0963296859;61.005219743;G13_Z2B_ZZ02
-139.0970806608;61.0051063687;G13_Z2B_ZZ03
-139.096347379;61.0049758448;G13_Z2B_ZZ04
-139.0970845926;61.0049844194;G13_Z2B_ZZ05
-139.0968113321;61.0053426442;G13_Z2B_ZZ06
-139.0966226054;61.0049806085;G13_Z2B_ZZ07
-139.09632772;61.0053340697;G13_Z2B_ZZ08
-139.0946134529;61.0078135216;G13_Z2C_ZZ01
-139.0938762394;61.0076896677;G13_Z2C_ZZ02
-139.0946272142;61.0075762934;G13_Z2C_ZZ03
-139.0938939325;61.0074457695;G13_Z2C_ZZ04
-139.094631146;61.0074543441;G13_Z2C_ZZ05
-139.0943578855;61.0078125689;G13_Z2C_ZZ06
-139.0941691589;61.0074505332;G13_Z2C_ZZ07
